文件,行数,列数,大小(KB),来源,是否裁剪
adae.csv,1191,55,422,CDISCPILOT01 ADAE,否
adlbc_shift.csv,17910,14,2221,CDISCPILOT01 ADLBC,是（仅 Baseline / End of Treatment 两个访视）
adsl.csv,254,48,83,CDISCPILOT01 ADSL,否
adtte.csv,254,26,58,CDISCPILOT01 ADTTE,否
ae.csv,1191,35,322,CDISCPILOT01 AE,否
dm.csv,306,25,60,CDISCPILOT01 DM,否
ds.csv,596,13,73,CDISCPILOT01 DS,否
ex.csv,591,17,70,CDISCPILOT01 EX,否
vs_anthrop.csv,2304,11,157,CDISCPILOT01 VS,是（仅 HEIGHT/WEIGHT）
vs_bp.csv,24295,9,1837,CDISCPILOT01 VS,是（仅 SYSBP/DIABP/PULSE，访视 1-13）
